Tidpunkt;Latency;Down;Up;ID
2021-05-03 14:54;34,76;19,22;7,41;sth20154f60e
2021-05-03 15:00;83,54;13,81;4,57;sth201a81f6a
2021-05-03 15:05;43,55;16,56;6,15;sth401fb5c76
2021-05-03 15:07;34,84;19,42;8,63;sth2019dca1a
2021-05-03 15:10;36,57;9,04;7,36;sth2012f5ca5
2021-05-03 15:20;34,96;10,72;8,35;sth401a637b6
2021-05-03 15:22;34,97;11,52;7,80;sth201236fed
2021-05-03 15:30;34,95;17,31;7,17;sth40195c9b0
2021-05-03 15:40;34,98;6,06;5,84;sth201afde91
2021-05-03 15:50;56,90;21,01;7,60;sth201fb69ac
2021-05-03 16:00;34,96;16,24;7,12;sth4016cfd16
2021-05-03 16:10;35,00;18,07;7,17;sth2015b3a41
2021-05-03 16:20;34,95;13,77;7,14;sth401aa5530
2021-05-03 16:30;37,83;13,54;6,83;sth401015c18
2021-05-03 16:40;38,50;13,70;6,36;sth4018ac8e2
2021-05-03 16:50;34,93;16,61;6,88;sth40177019d
2021-05-03 17:00;34,79;9,27;7,13;sth401a48bdf
2021-05-03 17:10;52,11;11,49;7,50;sth4016781ce
2021-05-03 17:20;34,94;14,95;7,08;sth4018a6522
2021-05-03 17:30;34,80;12,06;7,35;sth4015257ed
2021-05-03 17:40;71,19;17,51;6,93;sth201d874ac
2021-05-03 17:50;74,37;17,12;6,70;sth401e17fd7
2021-05-03 18:00;76,80;5,72;5,06;sth2014b258e
2021-05-03 18:10;37,37;15,81;7,14;sth201abdb80
2021-05-03 18:20;50,70;14,04;1,81;sth401795c68
2021-05-03 18:30;64,57;15,77;5,59;sth40197ca82
2021-05-03 18:40;50,44;15,40;5,87;sth201f250e2
2021-05-03 18:50;36,91;11,64;5,41;sth201ce1779
2021-05-03 19:00;35,01;9,87;2,80;sth401041041
2021-05-03 19:10;67,77;7,40;4,97;sth401d3bceb
2021-05-03 19:20;36,86;5,33;5,57;sth201163424
2021-05-03 19:30;47,99;5,62;6,93;sth2011e6e04
2021-05-03 19:40;45,51;5,17;1,54;sth201254bcd
2021-05-03 19:50;34,95;5,43;6,79;sth401812d72
2021-05-03 20:00;36,80;7,16;6,68;sth4010ac12d
2021-05-03 20:10;39,98;5,60;7,25;sth401136e90
2021-05-03 20:20;40,56;3,58;6,11;sth401156a33
2021-05-03 20:30;40,20;4,95;6,52;sth20163c1d2
2021-05-03 20:40;69,51;3,16;6,01;sth201c80f38
2021-05-03 20:50;55,26;2,63;5,02;sth201b03a24
2021-05-03 21:00;42,16;3,42;5,18;sth401bdc8b1
2021-05-03 21:10;36,70;3,52;5,26;sth401ffea3d
2021-05-03 21:20;59,57;2,42;2,33;sth4012ac650
2021-05-03 21:30;67,16;5,28;3,98;sth40111c3f0
2021-05-03 21:40;39,99;5,54;4,59;sth4018e9e17
2021-05-03 21:50;83,99;2,63;3,16;sth2010ae2c6
2021-05-03 22:00;42,98;3,49;6,21;sth201a61b61
2021-05-03 22:10;124,65;8,92;4,37;sth201843f46
2021-05-03 22:20;79,40;6,11;4,70;sth201fb329b
2021-05-03 22:30;34,97;4,76;6,85;sth40152f8fb
2021-05-03 22:40;66,54;9,14;5,41;sth401f63ef8
2021-05-03 22:50;38,23;6,56;5,28;sth20186951e
2021-05-03 23:00;36,67;6,75;6,45;sth40122031a
2021-05-03 23:10;40,00;4,20;6,16;sth20193f5e2
2021-05-03 23:20;34,67;9,62;6,94;sth4016cc98f
2021-05-03 23:30;40,00;13,89;5,22;sth201a1300a
2021-05-03 23:40;34,99;14,71;6,92;sth401e81248
2021-05-03 23:50;40,00;10,02;5,67;sth401c82f1e
2021-05-04 00:00;41,13;13,30;5,59;sth4018d4cf1
2021-05-04 00:10;38,11;14,01;3,00;sth401080b8d
2021-05-04 00:20;42,44;13,25;5,42;sth2012931df
2021-05-04 00:30;39,13;18,28;7,11;sth4012d4a10
2021-05-04 00:40;39,95;13,48;5,55;sth201dc5a80
2021-05-04 00:50;45,23;14,95;5,22;sth401a309ce
2021-05-04 01:00;45,47;13,64;5,67;sth201b54b70
2021-05-04 01:10;41,12;13,26;5,52;sth401399d25
2021-05-04 01:20;35,40;21,74;7,34;sth201e47f01
2021-05-04 01:30;35,15;25,36;7,01;sth40166364a
2021-05-04 01:40;35,55;23,22;7,19;sth201e5dd85
2021-05-04 01:50;34,96;23,64;7,13;sth2018ef6f1
2021-05-04 02:00;34,90;23,23;7,34;sth4014dad60
2021-05-04 02:10;35,01;23,69;7,24;sth4015ab1b1
2021-05-04 02:20;38,98;24,20;7,31;sth2013be3ac
2021-05-04 02:30;35,67;27,72;7,05;sth2017e9ae7
2021-05-04 02:40;34,95;26,27;7,20;sth401313af8
2021-05-04 02:50;34,97;24,47;7,41;sth4011f51ba
2021-05-04 03:00;36,10;25,14;7,28;sth201f6efa2
2021-05-04 03:10;34,99;25,56;7,08;sth4012076e8
2021-05-04 03:20;34,96;24,96;7,23;sth401577b5e
2021-05-04 03:30;38,39;23,54;7,19;sth20127d77a
2021-05-04 03:40;34,96;25,74;7,27;sth201eed547
2021-05-04 03:50;34,93;23,67;7,22;sth2013b0624
2021-05-04 04:00;34,88;25,70;7,45;sth401122398
2021-05-04 04:10;34,93;27,09;6,97;sth401eb6fb5
2021-05-04 04:20;34,95;28,46;7,27;sth40131abd4
2021-05-04 04:30;34,87;28,25;7,41;sth201c95fa6
2021-05-04 04:40;34,65;25,46;7,09;sth201125926
2021-05-04 04:50;34,95;22,39;6,89;sth401173cdf
2021-05-04 05:00;38,59;12,71;7,08;sth201a12574
2021-05-04 05:10;34,98;27,37;7,47;sth401b0e2d1
2021-05-04 05:20;35,55;20,82;7,63;sth201f78f33
2021-05-04 05:30;41,74;23,86;6,94;sth201fbff6c
2021-05-04 05:40;34,88;16,50;7,06;sth4010a1463
2021-05-04 05:50;36,96;15,44;7,05;sth2018192a9
2021-05-04 06:00;40,06;19,97;7,38;sth2015be60a
2021-05-04 06:10;35,26;12,47;6,71;sth401e781fb
2021-05-04 06:20;34,59;17,94;7,16;sth401c65c79
2021-05-04 06:30;48,26;20,03;6,92;sth2012f7ad3
2021-05-04 06:40;40,98;16,45;6,90;sth201114735
2021-05-04 06:50;37,55;10,44;7,05;sth401aa8933
2021-05-04 07:00;36,70;18,67;6,95;sth4013ab1b2
2021-05-04 07:10;43,47;3,12;5,91;sth201a450e8
2021-05-04 07:20;36,57;13,24;6,28;sth201fc509b
2021-05-04 07:30;34,93;13,15;7,16;sth4010145e1
2021-05-04 07:40;34,96;13,49;6,89;sth401378eaf
2021-05-04 07:50;45,08;11,99;6,87;sth20137a982
2021-05-04 08:00;77,06;15,59;6,64;sth20185048c
2021-05-04 08:10;39,14;15,46;6,92;sth40154c162
2021-05-04 08:20;38,26;11,91;7,03;sth401d353ec
2021-05-04 08:30;36,86;15,69;7,00;sth401392a4d
2021-05-04 08:40;37,18;9,87;5,73;sth2014950ae
2021-05-04 08:50;38,96;19,67;6,43;sth401c3d8ce
2021-05-04 09:00;54,89;15,17;6,39;sth401d390e5
2021-05-04 09:10;41,84;14,87;5,47;sth401275138
